"roster_id","team_id","year","person_id","created_at","updated_at"
209,7,20212022,8480196,"2021-10-07 15:31:37.278044-07","2021-10-07 15:31:37.278044-07"
210,7,20212022,8480807,"2021-10-07 15:31:37.662601-07","2021-10-07 15:31:37.662601-07"
211,7,20212022,8480839,"2021-10-07 15:31:38.038132-07","2021-10-07 15:31:38.038132-07"
212,7,20212022,8480906,"2021-10-07 15:31:38.466351-07","2021-10-07 15:31:38.466351-07"
213,7,20212022,8481528,"2021-10-07 15:31:39.136913-07","2021-10-07 15:31:39.136913-07"
214,7,20212022,8481626,"2021-10-07 15:31:39.8222-07","2021-10-07 15:31:39.8222-07"
215,7,20212022,8481751,"2021-10-07 15:31:40.528977-07","2021-10-07 15:31:40.528977-07"
216,7,20212022,8482061,"2021-10-07 15:31:41.034864-07","2021-10-07 15:31:41.034864-07"
217,7,20212022,8482175,"2021-10-07 15:31:41.408907-07","2021-10-07 15:31:41.408907-07"
218,8,20212022,8470642,"2021-10-07 15:31:41.801161-07","2021-10-07 15:31:41.801161-07"
219,8,20212022,8471679,"2021-10-07 15:31:42.192247-07","2021-10-07 15:31:42.192247-07"
220,8,20212022,8473507,"2021-10-07 15:31:42.273854-07","2021-10-07 15:31:42.273854-07"
221,8,20212022,8473618,"2021-10-07 15:31:42.601312-07","2021-10-07 15:31:42.601312-07"
222,8,20212022,8474038,"2021-10-07 15:31:42.884199-07","2021-10-07 15:31:42.884199-07"
223,8,20212022,8474596,"2021-10-07 15:31:43.17822-07","2021-10-07 15:31:43.17822-07"
224,8,20212022,8474884,"2021-10-07 15:31:43.324938-07","2021-10-07 15:31:43.324938-07"
225,8,20212022,8475227,"2021-10-07 15:31:43.669792-07","2021-10-07 15:31:43.669792-07"
226,8,20212022,8475233,"2021-10-07 15:31:44.004337-07","2021-10-07 15:31:44.004337-07"
227,8,20212022,8475279,"2021-10-07 15:31:44.369037-07","2021-10-07 15:31:44.369037-07"
228,8,20212022,8475726,"2021-10-07 15:31:44.776274-07","2021-10-07 15:31:44.776274-07"
229,8,20212022,8475848,"2021-10-07 15:31:45.081896-07","2021-10-07 15:31:45.081896-07"
230,8,20212022,8475968,"2021-10-07 15:31:45.44388-07","2021-10-07 15:31:45.44388-07"
231,8,20212022,8476441,"2021-10-07 15:31:46.148057-07","2021-10-07 15:31:46.148057-07"
232,8,20212022,8476469,"2021-10-07 15:31:46.441208-07","2021-10-07 15:31:46.441208-07"
233,8,20212022,8476967,"2021-10-07 15:31:46.747171-07","2021-10-07 15:31:46.747171-07"
234,8,20212022,8476975,"2021-10-07 15:31:47.087857-07","2021-10-07 15:31:47.087857-07"
235,8,20212022,8476981,"2021-10-07 15:31:47.442311-07","2021-10-07 15:31:47.442311-07"
236,8,20212022,8477476,"2021-10-07 15:31:47.767406-07","2021-10-07 15:31:47.767406-07"
237,8,20212022,8477494,"2021-10-07 15:31:48.113273-07","2021-10-07 15:31:48.113273-07"
238,8,20212022,8477989,"2021-10-07 15:31:48.492661-07","2021-10-07 15:31:48.492661-07"
239,8,20212022,8478133,"2021-10-07 15:31:48.780399-07","2021-10-07 15:31:48.780399-07"
240,8,20212022,8478470,"2021-10-07 15:31:49.184802-07","2021-10-07 15:31:49.184802-07"
241,8,20212022,8478915,"2021-10-07 15:31:49.371458-07","2021-10-07 15:31:49.371458-07"
242,8,20212022,8480018,"2021-10-07 15:31:49.782573-07","2021-10-07 15:31:49.782573-07"
243,8,20212022,8480051,"2021-10-07 15:31:50.027464-07","2021-10-07 15:31:50.027464-07"
244,8,20212022,8480068,"2021-10-07 15:31:50.283358-07","2021-10-07 15:31:50.283358-07"
245,8,20212022,8481014,"2021-10-07 15:31:50.709024-07","2021-10-07 15:31:50.709024-07"
246,8,20212022,8481058,"2021-10-07 15:31:51.097731-07","2021-10-07 15:31:51.097731-07"
